YEAR,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,CATEGORY
2013,35.0,115.9,84.5,0.9743,50.6,44.8,18.3,27.0,38.2,33.3,40.0,34.9,50.8,43.4,33.3,31.8,67.1,9.0,Champions
2014,32.0,112.5,91.3,0.9171,51.5,44.6,17.3,19.6,30.4,32.8,38.3,35.7,48.1,42.2,38.7,33.0,64.8,4.7,Champions
2015,35.0,125.2,90.6,0.9764,56.6,46.5,16.3,18.6,35.8,30.2,39.8,23.9,55.9,46.3,38.7,31.4,66.4,10.7,Champions
2016,35.0,123.1,90.9,0.9703,56.1,46.7,16.3,20.6,28.2,29.4,34.1,30.0,57.4,44.1,36.2,33.9,66.7,8.9,Champions
2017,33.0,121.0,91.5,0.9615,51.7,48.1,16.2,18.6,41.3,25.0,34.3,31.6,51.0,46.3,35.5,33.9,72.8,8.4,Champions
2018,36.0,128.4,94.1,0.9725,59.5,48.5,15.0,18.2,29.6,27.1,29.4,26.7,59.0,49.0,40.1,31.7,69.6,10.6,Champions
2019,35.0,123.0,89.9,0.9736,55.2,44.7,14.7,17.5,30.4,25.4,29.1,26.3,52.5,45.7,39.5,28.9,60.7,11.1,Champions
2021,22.0,123.2,94.5,0.9548,57.5,49.1,17.6,24.6,37.5,30.9,27.0,31.7,54.1,48.1,41.8,34.0,68.8,6.6,Champions
2022,34.0,119.8,91.3,0.958,53.8,45.8,17.3,18.1,32.9,28.6,32.3,27.7,53.6,46.4,36.1,29.8,69.1,10.4,Champions
2023,31.0,121.5,91.2,0.9643,53.9,44.4,18.9,18.5,38.5,26.1,30.8,37.8,53.6,44.4,36.3,29.7,66.7,5.0,Champions
2024,31.0,127.1,93.6,0.9712,57.1,45.1,14.9,16.2,36.5,26.8,33.3,32.5,58.5,43.7,36.7,31.9,64.6,11.3,Champions
2013,30.0,121.5,93.7,0.9522,54.6,48.0,14.6,18.7,32.5,29.4,28.4,22.7,53.4,47.6,37.9,32.6,64.8,6.2,Runner-Up
2014,29.0,117.2,96.2,0.9062,49.9,46.0,18.1,16.1,42.0,29.7,51.8,36.8,50.0,44.9,33.2,32.2,65.9,3.9,Runner-Up
2015,36.0,129.1,93.6,0.9758,54.8,47.7,12.4,15.8,32.1,23.7,36.2,22.4,54.8,44.7,36.5,37.5,59.3,11.3,Runner-Up
2016,33.0,123.3,94.9,0.9531,52.6,48.1,15.4,18.2,40.7,30.0,32.3,30.4,53.9,44.6,32.7,36.2,71.7,8.6,Runner-Up
2017,37.0,117.8,86.3,0.9728,56.6,41.1,16.2,17.1,30.0,26.2,39.0,26.9,56.3,40.0,38.2,29.0,71.5,7.7,Runner-Up
2018,33.0,114.4,90.4,0.9375,53.9,47.7,14.0,19.5,25.5,24.9,30.7,30.0,54.7,46.8,35.2,33.2,65.9,6.9,Runner-Up
2019,31.0,115.2,85.2,0.9696,53.5,43.0,17.7,22.8,27.4,28.7,32.9,36.6,52.8,41.9,36.5,29.7,67.5,7.0,Runner-Up
2021,26.0,125.4,89.8,0.9791,61.0,47.5,16.1,20.3,30.4,23.4,36.7,25.9,64.0,46.8,36.5,32.5,74.6,8.5,Runner-Up
2022,29.0,114.4,93.5,0.9113,51.5,48.6,16.4,13.6,31.9,21.6,30.3,21.4,50.1,47.5,35.8,33.7,70.1,4.3,Runner-Up
2023,32.0,110.8,89.5,0.9205,49.3,46.5,17.3,19.1,31.6,26.1,33.2,30.2,48.4,49.3,34.0,28.3,65.7,5.7,Runner-Up
2024,29.0,126.2,94.7,0.9644,56.0,47.7,16.5,14.0,37.4,24.7,42.8,23.0,53.2,48.1,40.8,31.4,67.6,11.0,Runner-Up
2013,30.0,111.8,89.0,0.9289000000000001,49.5,43.95,19.15,21.8,38.4,30.5,36.65,36.849999999999994,49.05,43.1,33.65,30.3,65.2,3.65,Final 4
2014,33.0,119.30000000000001,92.15,0.9508000000000001,52.75,46.3,15.1,18.3,31.7,27.7,42.55,29.15,51.3,44.7,36.75,33.55,63.5,9.8,Final 4
2015,32.5,118.3,88.3,0.95845,52.35,42.25,16.9,18.9,36.5,29.4,38.3,35.35,51.0,41.45,36.7,29.3,63.7,8.05,Final 4
2016,26.0,115.05000000000001,93.85,0.90915,52.15,47.25,18.200000000000003,19.049999999999997,32.35,32.9,34.2,28.15,47.7,46.7,39.1,32.2,68.15,3.85,Final 4
2017,29.5,113.25,91.4,0.9202,51.4,45.95,17.75,21.8,33.2,30.55,37.3,35.4,50.2,45.75,35.7,30.9,69.0,3.85,Final 4
2018,31.5,116.3,95.9,0.8914500000000001,57.6,48.25,17.85,18.799999999999997,25.75,28.549999999999997,29.6,24.9,56.1,47.85,39.95,32.65,68.15,5.1,Final 4
2019,31.0,120.6,93.1,0.95085,54.8,47.8,17.65,19.75,32.75,29.599999999999998,32.25,31.95,53.0,46.65,37.95,33.2,68.94999999999999,8.399999999999999,Final 4
2021,20.5,116.44999999999999,94.2,0.8988,51.65,46.8,16.450000000000003,19.6,34.9,26.2,31.65,35.2,50.25,46.2,36.1,31.8,64.85,2.5,Final 4
2022,31.0,119.95,94.5,0.9393,53.55,47.2,15.25,17.049999999999997,31.45,28.9,29.200000000000003,22.05,52.75,47.35,36.25,31.4,64.80000000000001,7.25,Final 4
2023,32.0,116.55,98.35,0.8765000000000001,54.3,48.650000000000006,16.5,17.9,31.6,27.1,30.15,25.15,53.8,48.25,36.7,32.95,68.05,4.2,Final 4
2024,21.5,119.6,101.65,0.85535,53.5,50.2,14.85,16.75,31.75,29.6,33.85,35.75,53.85,50.3,35.55,33.4,70.2,1.4,Final 4
2013,28.5,115.175,89.95,0.940675,52.325,45.1,17.625,20.775,33.3,30.5,36.65,30.95,51.525,44.125,35.725,31.174999999999997,65.125,5.825,Elite 8
2014,29.0,118.45,95.425,0.9109499999999999,53.575,46.574999999999996,16.5,18.175,33.15,28.525,37.55,36.05,51.475,45.55,38.375,32.55,64.625,6.15,Elite 8
2015,31.75,118.1,91.5,0.947225,54.35,45.3,16.075,19.075000000000003,32.75,28.35,40.300000000000004,31.299999999999997,54.225,43.85,36.425,32.35,65.35,7.8,Elite 8
2016,28.75,119.375,95.225,0.91735,54.2,47.975,16.075000000000003,18.075,32.225,28.925,35.975,32.175,52.7,45.575,38.349999999999994,35.075,66.625,7.3,Elite 8
2017,28.5,118.0,93.15,0.9319500000000001,53.125,48.25,17.15,19.075,33.55,28.1,39.55,32.725,52.2,47.95,36.525,32.525,70.92500000000001,7.0,Elite 8
2018,26.0,114.45,93.625,0.899425,53.425,47.575,17.575,20.0,32.474999999999994,30.1,36.175,32.375,53.525,46.2,35.55,33.2,69.375,3.675,Elite 8
2019,30.25,120.65,90.8,0.962425,54.8,46.2,16.7,18.725,34.6,27.2,35.075,27.1,55.95,44.8,34.974999999999994,32.2,69.875,8.275,Elite 8
2021,20.25,112.25,93.475,0.871475,51.8,47.075,17.25,17.825,31.65,26.925,33.275,29.200000000000003,51.05,45.975,35.5,32.925,68.075,3.4499999999999997,Elite 8
2022,27.0,109.55,92.55,0.84355,50.65,46.875,16.975,20.775,30.15,28.15,33.125,33.15,51.25,46.925,33.175,31.225,66.9,1.9250000000000003,Elite 8
2023,27.5,116.725,94.675,0.91505,54.35,48.675,16.75,18.7,28.675,27.1,32.275,28.925,55.025,48.35,35.475,33.0,69.025,5.125,Elite 8
2024,23.75,119.6,97.1,0.91305,53.6,47.775,14.725,15.424999999999999,32.025,26.45,34.125,30.424999999999997,53.775,46.775,35.55,33.075,68.05000000000001,4.0,Elite 8
2013,27.25,111.375,90.975,0.890375,51.975,45.6125,19.5125,20.2625,34.0625,29.7,37.35,30.8875,50.9,44.575,36.0625,31.7625,66.75,4.0125,Sweet 16
2014,27.0,116.175,94.075,0.91105,51.4625,46.6625,15.95,18.7375,34.35,29.075,41.8125,33.8125,50.375,45.15,36.0,33.15,66.125,4.512499999999999,Sweet 16
2015,24.5,114.0375,92.875,0.9067125,50.5875,46.875,17.425,19.575,34.55,29.45,37.1875,36.6125,49.275,45.1875,35.5875,33.4875,65.875,3.175,Sweet 16
2016,25.625,117.175,96.1125,0.9045875,54.225,48.025,17.075,17.662499999999998,31.975,29.5375,36.1,28.8125,53.125,46.825,37.4125,33.6625,68.2625,3.7,Sweet 16
2017,27.875,118.0375,94.75,0.92515,54.5875,48.65,16.725,19.1375,32.325,27.9,34.1875,30.2125,53.4,47.025,37.8,34.6125,68.125,6.1,Sweet 16
2018,26.625,115.7125,95.55,0.8932375,52.8625,47.5625,17.025,18.175,32.025,28.1875,35.6625,30.75,51.8875,46.05,36.275,33.45,69.075,3.6625,Sweet 16
2019,28.875,116.0875,91.9125,0.9305625,52.65,47.0125,16.9125,19.425,31.8375,27.2,32.1,31.7125,52.3625,46.55,35.275,31.85,68.7125,6.9625,Sweet 16
2021,19.0,112.8125,95.5375,0.845225,53.65,48.275,16.875,19.8,28.4,28.612499999999997,28.95,28.425,52.85,47.675,36.5125,32.8625,68.8,2.0125,Sweet 16
2022,26.5,114.15,92.35000000000001,0.9092625,53.15,46.7375,17.4,18.15,31.650000000000002,25.825,32.725,27.225,53.675,46.5375,34.75,31.425,67.575,5.3875,Sweet 16
2023,26.625,114.1125,93.0625,0.8955875,51.925,46.0125,16.9125,18.575,32.25,26.425,31.487499999999997,31.525,51.95,46.125,34.8125,30.725,67.35,4.3,Sweet 16
2024,25.75,117.925,92.8,0.93445,53.375,47.1,14.9375,18.775,31.9375,27.1,32.325,28.9625,53.9375,46.55,35.1,32.075,68.0625,5.625,Sweet 16
2013,24.75,111.075,93.56875,0.86600625,50.99375,46.93125,18.325,20.28125,34.05,30.056250000000002,37.05,33.0625,50.13125,45.66875,35.03125,33.075,66.8,2.35625,Round 32
2014,26.3125,114.35625,96.46875,0.8643125,52.4,47.1625,16.9625,19.03125,34.13125,29.65,42.15,39.51875,51.81875,45.79375,35.63125,33.19375,66.38125,3.95,Round 32
2015,25.6875,111.15625,92.96875,0.86605625,50.95625,45.86875,17.86875,19.85,32.63125,30.4625,38.8875,32.01875,49.7375,44.425,35.51875,32.300000000000004,63.95625,3.21875,Round 32
2016,24.8125,111.99375,95.59375,0.84635,51.8875,47.43125,16.4,19.49375,30.90625,27.8125,36.59375,34.25,50.89375,46.74375,35.9,32.6125,68.31875,1.66875,Round 32
2017,26.625,115.75625,94.6,0.900575,53.4125,46.95,16.20625,18.725,31.39375,28.45625,33.60625,32.7125,52.325,45.76875,36.9,32.675,67.61875,4.59375,Round 32
2018,25.4375,113.95,96.33125,0.8492875,52.9625,48.5,17.08125,18.875,31.487499999999997,27.8625,33.6875,33.10625,51.825,46.89375,36.525,34.10625,70.2375,2.8,Round 32
2019,25.0625,111.49375,95.8625,0.8441625,52.35625,47.98125,17.75625,18.76875,30.6625,28.3875,33.7625,30.2875,52.08125,47.5,35.225,32.5625,68.025,2.68125,Round 32
2021,18.25,111.74375,93.9,0.867425,52.09375,47.88125,17.29375,19.70625,29.71875,27.96875,32.59375,30.087500000000002,51.375,47.262499999999996,35.5625,32.64375,68.09375,2.0375,Round 32
2022,24.5625,110.76875,93.54375,0.86321875,51.49375,47.25,17.8875,18.55625,31.01875,27.01875,30.8625,28.19375,51.6375,47.05,34.168749999999996,31.8,66.59375,3.5625,Round 32
2023,24.1875,113.9,98.24375,0.824375,52.2375,48.98125,16.4375,19.025,30.21875,28.75,31.0875,30.60625,52.40625,49.0,34.65,32.6125,66.75625,2.0125,Round 32
2024,23.5,113.8375,98.6625,0.8256,52.725,49.00625,15.85625,17.46875,30.83125,27.4125,34.2875,31.525,52.43125,48.89375,35.39375,32.775,66.50625,1.1099999999999999,Round 32
2013,23.03125,106.496875,95.178125,0.7519375,50.31875,46.375,18.825,19.7375,32.6875,30.1875,37.925,33.065625,49.378125,44.878125,34.81875,32.94375,65.659375,-0.4156250000000001,Round 64
2014,22.03125,109.121875,98.965625,0.725478125,50.684375,47.66875,17.59375,18.875,31.953125,30.878125,43.284375,38.853125,49.675,47.053125,35.10625,32.615625,66.915625,-0.746875,Round 64
